FAMILIA,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,mes,año,TOTALES
ANATIDAE,Spatula cyanoptera,Pato colorado,Residente,5.0,6.0,4.0,0.0,0.0,9.0,43.0,8.0,0.0,ENERO,2019,75.0
ANATIDAE,Anas bahamensis,Pato gargantillo,Residente,0.0,3.0,0.0,0.0,0.0,18.0,12.0,2.0,0.0,ENERO,2019,35.0
ANATIDAE,Oxyura jamaicensis,Pato rana o taclón,Residente,2.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,ENERO,2019,15.0
PODICIPEDIDAE,Podilymbus podiceps,Zambullidor pico grueso,Residente,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ENERO,2019,6.0
PODICIPEDIDAE,Podiceps major,Zambullidor grande,Residente,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENERO,2019,5.0
COLUMBIDAE,Columba livia,"Paloma doméstica, paloma de castilla",Residente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,ENERO,2019,6.0
COLUMBIDAE,Zenaida meloda,Paloma cuculi,Residente,7.0,0.0,2.0,1.0,27.0,0.0,14.0,5.0,59.0,ENERO,2019,115.0
COLUMBIDAE,Zenaida auriculata,Madrugadora o rabiblanca,Residente,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,ENERO,2019,3.0
COLUMBIDAE,Columbina cruziana,Tortolita peruana,Residente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,ENERO,2019,29.0
CUCULIDAE,Crotophaga sulcirostris,Guardacaballo,Residente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ENERO,2019,1.0
TROCHILIDAE,Amazilia amazilia,Amazilia costeña,Residente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,ENERO,2019,18.0
RALLIDAE,Gallinula galeata,Polla de agua,Residente,7.0,3.0,0.0,0.0,4.0,5.0,6.0,1.0,0.0,ENERO,2019,26.0
RALLIDAE,Fulica ardesiaca,"Gallareta andina, Huayno",Residente,9.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,ENERO,2019,21.0
CHARADRIIDAE,Charadrius vociferus,Chorlo doble collar,Residente,0.0,0.0,0.0,0.0,6.0,0.0,0.0,18.0,0.0,ENERO,2019,24.0
CHARADRIIDAE,Charadrius semipalmatus,Chorlo semipalmado,Migratorio Boreal,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,ENERO,2019,17.0
