mes,año,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9
,,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>,<lambda>
ABRIL,2019,28.0,27.0,18.0,29.0,30.0,12.0,6.0,40.0,19.0
ABRIL,2020,21.0,24.0,14.0,14.0,22.0,4.0,12.0,12.0,19.0
AGOSTO,2019,24.0,33.0,18.0,29.0,31.0,16.0,23.0,26.0,19.0
AGOSTO,2020,17.0,19.0,16.0,12.0,42.0,11.0,23.0,23.0,24.0
DICIEMBRE,2019,28.0,27.0,12.0,13.0,36.0,10.0,27.0,22.0,19.0
DICIEMBRE,2020,18.0,20.0,23.0,16.0,53.0,11.0,28.0,13.0,18.0
ENERO,2019,26.0,11.0,6.0,6.0,32.0,29.0,18.0,25.0,19.0
ENERO,2020,30.0,27.0,17.0,14.0,37.0,8.0,26.0,22.0,25.0
FEBRERO,2019,19.0,30.0,14.0,32.0,39.0,8.0,22.0,14.0,17.0
FEBRERO,2020,18.0,20.0,24.0,20.0,34.0,9.0,21.0,26.0,22.0
JULIO,2019,23.0,25.0,8.0,26.0,34.0,10.0,26.0,22.0,15.0
JULIO,2020,16.0,18.0,17.0,12.0,39.0,11.0,16.0,16.0,21.0
JUNIO,2019,13.0,28.0,15.0,22.0,29.0,11.0,21.0,18.0,19.0
JUNIO,2020,9.0,9.0,21.0,15.0,36.0,6.0,33.0,30.0,30.0
MARZO,2019,22.0,21.0,19.0,16.0,41.0,8.0,26.0,26.0,22.0
MARZO,2020,0.0,30.0,0.0,0.0,37.0,7.0,19.0,12.0,0.0
MAYO,2019,17.0,27.0,12.0,24.0,26.0,9.0,35.0,23.0,14.0
MAYO,2020,24.0,22.0,15.0,13.0,33.0,12.0,16.0,17.0,23.0
NOVIEMBRE,2019,24.0,31.0,15.0,24.0,33.0,8.0,23.0,23.0,20.0
NOVIEMBRE,2020,20.0,28.0,21.0,17.0,49.0,7.0,25.0,18.0,25.0
OCTUBRE,2019,19.0,30.0,14.0,32.0,39.0,8.0,22.0,14.0,17.0
OCTUBRE,2020,16.0,18.0,24.0,17.0,43.0,12.0,18.0,19.0,24.0
SETIEMBRE,2019,22.0,30.0,16.0,28.0,30.0,11.0,25.0,24.0,17.0
SETIEMBRE,2020,19.0,18.0,16.0,28.0,32.0,10.0,22.0,18.0,26.0
